ID,Timestamp,Sector,Tipo_Emergencia,Latitud,Longitud,Confiabilidad_Usuario,Prioridad_IA,Nivel_Prioridad,Estado_IA,Tiempo_Respuesta_Min,Estado_Reporte
#1219,2026-07-14 00:40:25,La Balanza,Robo,-11.890472,-77.023611,34,22,Baja,Validado,2.3,En Proceso
#1220,2026-07-13 22:44:25,Comas Sur,Emergencia Médica,-11.918837,-77.010542,97,57,Media,Validado,21.7,Pendiente
#1221,2026-07-13 20:13:25,Comas Sur,Robo,-11.908198,-77.019663,28,63,Media,Validado,5.2,En Proceso
#1222,2026-07-14 08:35:25,Comas Norte,Robo,-11.920178,-77.047046,11,71,Media,Descartado,0.0,Atendido
#1223,2026-07-14 14:46:25,La Balanza,Emergencia Médica,-11.918608,-77.051828,24,44,Media,Descartado,0.0,Atendido
#1224,2026-07-14 11:15:25,Comas Sur,Incendio,-11.908738,-77.030502,55,13,Baja,Validado,20.9,En Proceso
#1225,2026-07-14 00:43:25,San Agustín,Sospecha,-11.907942,-77.051694,85,35,Baja,Validado,20.6,Pendiente
#1226,2026-07-14 13:30:25,Comas Norte,Sospecha,-11.924351,-77.053692,60,27,Baja,Validado,24.2,En Proceso
#1227,2026-07-14 01:19:25,Comas Sur,Incendio,-11.903076,-77.034461,43,98,Alta,Validado,11.6,Pendiente
#1228,2026-07-14 05:37:25,La Balanza,Emergencia Médica,-11.896537,-77.010574,63,50,Media,Validado,8.2,Atendido
#1229,2026-07-14 15:23:25,Collique,Sospecha,-11.937679,-77.044971,89,44,Media,Validado,21.3,Pendiente
#1230,2026-07-14 13:13:25,La Balanza,Sospecha,-11.928304,-77.023271,32,26,Baja,Validado,16.0,Pendiente
#1231,2026-07-14 17:36:25,La Balanza,Sospecha,-11.890321,-77.015108,61,86,Alta,Descartado,0.0,Atendido
#1232,2026-07-14 06:08:25,Comas Sur,Incendio,-11.925669,-77.057383,49,80,Alta,Validado,19.7,Pendiente
#1233,2026-07-14 08:37:25,Comas Norte,Emergencia Médica,-11.912838,-77.010685,60,99,Alta,Validado,9.3,En Proceso
#1234,2026-07-14 16:38:25,Collique,Sospecha,-11.932005,-77.054927,25,16,Baja,Descartado,0.0,Atendido
#1235,2026-07-14 17:25:25,San Agustín,Incendio,-11.901304,-77.024126,24,77,Media,Validado,18.3,Pendiente
#1236,2026-07-13 22:36:25,San Agustín,Accidente de Tránsito,-11.914163,-77.059922,42,35,Baja,Validado,21.6,Pendiente
#1237,2026-07-14 10:19:25,Comas Sur,Sospecha,-11.912283,-77.053238,47,43,Media,Validado,23.7,Atendido
#1238,2026-07-13 22:24:25,Collique,Incendio,-11.899029,-77.027697,61,100,Alta,Validado,19.2,Atendido
#1239,2026-07-13 22:16:25,Comas Norte,Robo,-11.899393,-77.011832,39,43,Media,Validado,7.2,Atendido
#1240,2026-07-13 23:42:25,Comas Sur,Accidente de Tránsito,-11.944751,-77.029896,78,73,Media,Validado,2.9,Atendido
#1241,2026-07-14 07:45:25,Collique,Accidente de Tránsito,-11.942179,-77.054248,72,71,Media,Validado,5.9,En Proceso
#1242,2026-07-14 10:14:25,La Balanza,Robo,-11.911143,-77.014419,95,66,Media,Validado,11.0,Pendiente
#1243,2026-07-14 13:01:25,Collique,Incendio,-11.94504,-77.013602,85,14,Baja,Validado,4.2,En Proceso
#1244,2026-07-14 06:41:25,La Balanza,Sospecha,-11.892926,-77.018008,42,36,Baja,Validado,2.9,En Proceso
#1245,2026-07-14 12:59:25,Collique,Incendio,-11.946286,-77.018554,69,19,Baja,Validado,17.8,En Proceso
#1246,2026-07-14 06:56:25,La Balanza,Incendio,-11.907431,-77.041587,64,44,Media,Validado,4.6,Pendiente
#1247,2026-07-14 08:35:25,Comas Sur,Emergencia Médica,-11.908684,-77.017813,81,96,Alta,Validado,19.0,Pendiente
#1248,2026-07-13 23:56:25,La Balanza,Accidente de Tránsito,-11.914567,-77.023984,35,55,Media,Validado,8.1,Atendido
#1249,2026-07-14 00:01:25,Collique,Robo,-11.899565,-77.037933,76,14,Baja,Validado,7.6,Atendido
#1250,2026-07-14 16:51:25,Comas Norte,Emergencia Médica,-11.891477,-77.046656,74,12,Baja,Validado,19.3,Pendiente
#1251,2026-07-14 08:24:25,Comas Sur,Emergencia Médica,-11.913178,-77.0399,46,40,Media,Validado,13.7,En Proceso
#1252,2026-07-14 07:53:25,San Agustín,Incendio,-11.893751,-77.029724,21,88,Alta,Validado,6.7,Atendido
#1253,2026-07-14 19:11:25,La Balanza,Sospecha,-11.924567,-77.021248,30,58,Media,Validado,6.9,Pendiente
#1254,2026-07-14 14:44:25,San Agustín,Emergencia Médica,-11.882109,-77.01547,87,69,Media,Validado,24.4,En Proceso
#1255,2026-07-14 03:36:25,Collique,Robo,-11.896493,-77.032692,100,31,Baja,Validado,1.4,Pendiente
#1256,2026-07-14 04:45:25,San Agustín,Accidente de Tránsito,-11.929696,-77.010119,43,77,Media,Validado,22.2,Atendido
#1257,2026-07-14 19:13:25,Collique,Accidente de Tránsito,-11.891791,-77.052528,68,94,Alta,Validado,24.5,Pendiente
#1258,2026-07-14 17:10:25,Comas Sur,Robo,-11.927795,-77.056728,25,96,Alta,Validado,23.5,En Proceso
#1259,2026-07-13 22:03:25,San Agustín,Sospecha,-11.911748,-77.057122,98,71,Media,Validado,14.4,Pendiente
#1260,2026-07-14 16:49:25,Collique,Sospecha,-11.886001,-77.046225,42,18,Baja,Validado,5.4,En Proceso
#1261,2026-07-14 17:45:25,Comas Sur,Emergencia Médica,-11.944783,-77.044805,64,19,Baja,Validado,14.0,Atendido
#1262,2026-07-14 02:52:25,La Balanza,Sospecha,-11.936881,-77.013009,99,87,Alta,Validado,9.6,En Proceso
#1263,2026-07-14 15:52:25,San Agustín,Robo,-11.88424,-77.035641,14,12,Baja,Validado,6.0,Atendido
#1264,2026-07-14 07:57:25,Collique,Incendio,-11.911778,-77.044595,14,11,Baja,Validado,23.1,En Proceso
#1265,2026-07-14 01:16:25,Comas Norte,Robo,-11.887331,-77.0598,12,34,Baja,Validado,19.2,En Proceso
#1266,2026-07-14 04:59:25,Collique,Emergencia Médica,-11.89758,-77.0531,52,16,Baja,Validado,5.6,En Proceso
#1267,2026-07-14 03:05:25,Comas Norte,Incendio,-11.883415,-77.050161,23,55,Media,Validado,12.8,En Proceso
#1268,2026-07-14 11:42:25,Collique,Incendio,-11.917986,-77.019306,67,73,Media,Validado,18.3,En Proceso
#1269,2026-07-14 17:13:25,Comas Sur,Robo,-11.883581,-77.038602,89,38,Baja,Validado,22.3,Atendido
#1270,2026-07-14 04:32:25,Comas Sur,Sospecha,-11.920803,-77.039274,34,30,Baja,Validado,4.6,Atendido
#1271,2026-07-14 15:47:25,Collique,Incendio,-11.89456,-77.048853,21,89,Alta,Validado,21.3,Pendiente
#1272,2026-07-14 10:43:25,La Balanza,Accidente de Tránsito,-11.88975,-77.056378,46,12,Baja,Descartado,0.0,Atendido
#1273,2026-07-14 00:04:25,Collique,Incendio,-11.91027,-77.019779,90,79,Media,Validado,14.2,En Proceso
#1274,2026-07-14 15:27:25,La Balanza,Emergencia Médica,-11.935859,-77.035007,55,15,Baja,Validado,14.9,Pendiente
#1275,2026-07-13 20:39:25,Comas Sur,Robo,-11.910867,-77.058273,64,55,Media,Validado,18.2,Pendiente
#1276,2026-07-13 23:55:25,La Balanza,Incendio,-11.929403,-77.027981,14,52,Media,Validado,21.1,En Proceso
#1277,2026-07-14 09:17:25,Comas Norte,Incendio,-11.938311,-77.035126,56,63,Media,Validado,5.8,Atendido
#1278,2026-07-14 18:52:25,Comas Norte,Sospecha,-11.915604,-77.032437,14,85,Alta,Validado,21.3,Atendido
#1279,2026-07-14 16:09:25,Collique,Robo,-11.944599,-77.045183,36,21,Baja,Descartado,0.0,Atendido
#1280,2026-07-13 21:57:25,Collique,Sospecha,-11.930739,-77.024053,99,90,Alta,Validado,2.7,Atendido
#1281,2026-07-14 05:59:25,Collique,Emergencia Médica,-11.92908,-77.035602,99,75,Media,Validado,1.7,Atendido
#1282,2026-07-14 04:31:25,Comas Norte,Accidente de Tránsito,-11.923645,-77.012941,94,95,Alta,Descartado,0.0,Atendido
#1283,2026-07-14 01:30:25,San Agustín,Accidente de Tránsito,-11.908532,-77.019491,32,14,Baja,Validado,3.1,Atendido
#1284,2026-07-13 23:14:25,Collique,Sospecha,-11.901549,-77.01293,93,42,Media,Validado,11.2,Pendiente
#1285,2026-07-13 22:30:25,Comas Norte,Robo,-11.896279,-77.013217,32,69,Media,Validado,13.9,Atendido
#1286,2026-07-14 11:27:25,Comas Norte,Robo,-11.906757,-77.026009,16,59,Media,Validado,24.7,Atendido
#1287,2026-07-14 01:15:25,Collique,Incendio,-11.949861,-77.04242,37,74,Media,Validado,12.4,Atendido
#1288,2026-07-14 01:48:25,San Agustín,Sospecha,-11.912255,-77.023711,49,15,Baja,Validado,11.6,Pendiente
#1289,2026-07-14 18:18:25,La Balanza,Robo,-11.90142,-77.014861,64,22,Baja,Validado,5.4,En Proceso
#1290,2026-07-14 16:19:25,San Agustín,Incendio,-11.940551,-77.025859,10,50,Media,Validado,24.2,Atendido
#1291,2026-07-13 19:56:25,San Agustín,Accidente de Tránsito,-11.926007,-77.039434,95,22,Baja,Validado,9.6,En Proceso
#1292,2026-07-14 12:27:25,Comas Sur,Incendio,-11.934757,-77.032456,69,29,Baja,Validado,11.4,Pendiente
#1293,2026-07-14 03:38:25,Comas Sur,Emergencia Médica,-11.902097,-77.045204,95,79,Media,Validado,4.8,En Proceso
#1294,2026-07-14 07:07:25,La Balanza,Emergencia Médica,-11.889708,-77.034884,25,11,Baja,Validado,24.8,En Proceso
#1295,2026-07-14 02:22:25,Comas Sur,Incendio,-11.931417,-77.056222,59,30,Baja,Validado,18.7,Pendiente
#1296,2026-07-14 01:12:25,San Agustín,Accidente de Tránsito,-11.945599,-77.049712,94,50,Media,Validado,22.8,Pendiente
#1297,2026-07-14 06:28:25,Collique,Sospecha,-11.881757,-77.034512,98,45,Media,Validado,13.3,En Proceso
#1298,2026-07-14 17:00:25,La Balanza,Incendio,-11.914166,-77.05989,76,21,Baja,Descartado,0.0,Atendido
#1299,2026-07-14 16:23:25,Comas Sur,Emergencia Médica,-11.90798,-77.02709,59,34,Baja,Validado,12.3,En Proceso
#1300,2026-07-14 05:37:25,La Balanza,Robo,-11.920221,-77.056938,31,77,Media,Validado,16.6,En Proceso
#1301,2026-07-13 21:07:25,San Agustín,Robo,-11.94808,-77.011068,83,12,Baja,Validado,5.6,En Proceso
#1302,2026-07-14 17:23:25,La Balanza,Robo,-11.895312,-77.016659,88,93,Alta,Validado,13.5,En Proceso
#1303,2026-07-14 14:44:25,La Balanza,Incendio,-11.934349,-77.019137,27,15,Baja,Validado,4.5,Pendiente
#1304,2026-07-14 14:28:25,Comas Norte,Sospecha,-11.93033,-77.043388,26,87,Alta,Validado,18.1,Pendiente
#1305,2026-07-14 14:07:25,San Agustín,Incendio,-11.945317,-77.033725,73,41,Media,Validado,21.4,Pendiente
#1306,2026-07-13 21:10:25,La Balanza,Accidente de Tránsito,-11.936073,-77.033399,76,15,Baja,Validado,16.9,En Proceso
#1307,2026-07-14 00:25:25,Collique,Emergencia Médica,-11.895378,-77.042837,30,74,Media,Validado,24.2,En Proceso
#1308,2026-07-14 15:01:25,La Balanza,Robo,-11.949001,-77.013619,43,84,Alta,Validado,10.0,Atendido
#1309,2026-07-14 07:06:25,San Agustín,Incendio,-11.899448,-77.016908,87,82,Alta,Validado,20.7,En Proceso
#1310,2026-07-14 10:16:25,San Agustín,Emergencia Médica,-11.900932,-77.01632,95,14,Baja,Descartado,0.0,Atendido
#1311,2026-07-14 14:09:25,Collique,Robo,-11.932375,-77.04784,21,52,Media,Validado,24.7,Pendiente
#1312,2026-07-14 06:07:25,La Balanza,Emergencia Médica,-11.926255,-77.042794,59,61,Media,Validado,9.0,Atendido
#1313,2026-07-14 07:56:25,Comas Sur,Sospecha,-11.914655,-77.012692,58,58,Media,Validado,6.6,En Proceso
#1314,2026-07-13 21:05:25,Comas Norte,Accidente de Tránsito,-11.920451,-77.055599,49,31,Baja,Validado,8.8,En Proceso
#1315,2026-07-14 18:34:25,Collique,Incendio,-11.923333,-77.0419,25,55,Media,Validado,4.5,Pendiente
#1316,2026-07-14 08:34:25,Collique,Incendio,-11.937076,-77.046225,57,58,Media,Validado,23.8,En Proceso
#1317,2026-07-14 10:20:25,Collique,Accidente de Tránsito,-11.899842,-77.018823,47,100,Alta,Validado,13.8,Pendiente
#1318,2026-07-14 17:41:25,Comas Sur,Emergencia Médica,-11.930757,-77.031305,17,86,Alta,Validado,7.1,Pendiente
#1319,2026-07-14 14:04:25,San Agustín,Incendio,-11.940391,-77.031739,62,45,Media,Validado,23.6,Atendido
#1320,2026-07-14 13:59:25,Comas Norte,Sospecha,-11.891275,-77.035985,97,87,Alta,Validado,3.9,Pendiente
#1321,2026-07-13 22:34:25,Comas Sur,Robo,-11.906524,-77.031454,85,76,Media,Validado,23.4,Pendiente
#1322,2026-07-14 12:01:25,Comas Norte,Sospecha,-11.882884,-77.040371,20,38,Baja,Validado,2.7,Pendiente
#1323,2026-07-14 00:19:25,Comas Sur,Robo,-11.918403,-77.05135,41,13,Baja,Validado,23.1,En Proceso
#1324,2026-07-14 06:58:25,San Agustín,Robo,-11.893639,-77.020732,76,93,Alta,Validado,19.6,Atendido
#1325,2026-07-14 13:09:25,La Balanza,Incendio,-11.919841,-77.037626,34,58,Media,Descartado,0.0,Atendido
#1326,2026-07-14 09:25:25,La Balanza,Sospecha,-11.946376,-77.025922,32,50,Media,Validado,5.4,En Proceso
#1327,2026-07-14 07:04:25,Comas Norte,Robo,-11.927301,-77.029715,94,64,Media,Descartado,0.0,Atendido
#1328,2026-07-14 18:23:25,Comas Norte,Robo,-11.892606,-77.031985,74,43,Media,Validado,17.6,Atendido
#1329,2026-07-13 23:23:25,La Balanza,Incendio,-11.939326,-77.024153,95,47,Media,Validado,3.1,Pendiente
#1330,2026-07-14 15:34:25,La Balanza,Emergencia Médica,-11.932366,-77.023617,11,42,Media,Validado,21.9,Pendiente
#1331,2026-07-14 14:26:25,Comas Norte,Incendio,-11.901573,-77.02741,60,97,Alta,Validado,9.1,En Proceso
#1332,2026-07-14 11:42:25,La Balanza,Accidente de Tránsito,-11.928588,-77.046839,59,15,Baja,Validado,14.1,Pendiente
#1333,2026-07-14 02:46:25,San Agustín,Accidente de Tránsito,-11.890341,-77.041879,97,40,Media,Validado,18.8,Atendido
#1334,2026-07-14 15:16:25,Collique,Incendio,-11.902295,-77.020911,42,22,Baja,Validado,12.0,Atendido
#1335,2026-07-14 14:29:25,Collique,Accidente de Tránsito,-11.910448,-77.028958,88,100,Alta,Descartado,0.0,Atendido
#1336,2026-07-14 19:03:25,La Balanza,Robo,-11.947127,-77.010164,91,13,Baja,Validado,24.2,Atendido
#1337,2026-07-14 14:43:25,Comas Sur,Accidente de Tránsito,-11.941789,-77.039985,83,98,Alta,Validado,7.8,Atendido
#1338,2026-07-13 23:40:25,San Agustín,Sospecha,-11.885833,-77.034192,76,14,Baja,Descartado,0.0,Atendido
#1339,2026-07-14 09:17:25,Comas Sur,Accidente de Tránsito,-11.88334,-77.045284,71,73,Media,Validado,12.6,En Proceso
#1340,2026-07-14 19:02:25,San Agustín,Sospecha,-11.931349,-77.012211,62,71,Media,Validado,8.9,Pendiente
#1341,2026-07-14 05:48:25,Comas Norte,Accidente de Tránsito,-11.887973,-77.052426,45,68,Media,Validado,2.6,En Proceso
#1342,2026-07-13 21:28:25,La Balanza,Emergencia Médica,-11.931205,-77.040278,27,76,Media,Validado,5.2,Atendido
#1343,2026-07-13 20:41:25,Collique,Accidente de Tránsito,-11.903024,-77.03385,48,12,Baja,Validado,5.6,En Proceso
#1344,2026-07-14 11:25:25,San Agustín,Accidente de Tránsito,-11.929177,-77.040749,96,60,Media,Descartado,0.0,Atendido
#1345,2026-07-14 05:51:25,Collique,Robo,-11.945367,-77.044422,44,94,Alta,Validado,17.1,Pendiente
#1346,2026-07-14 00:49:25,San Agustín,Emergencia Médica,-11.887311,-77.045371,44,67,Media,Validado,3.2,Atendido
#1347,2026-07-14 02:47:25,Collique,Emergencia Médica,-11.902169,-77.014929,21,79,Media,Descartado,0.0,Atendido
#1348,2026-07-14 14:19:25,Comas Norte,Incendio,-11.90786,-77.020768,59,14,Baja,Validado,18.4,Pendiente
#1349,2026-07-14 11:54:25,La Balanza,Accidente de Tránsito,-11.895148,-77.029271,54,92,Alta,Validado,17.9,Pendiente
#1350,2026-07-13 22:44:25,Collique,Accidente de Tránsito,-11.941814,-77.040499,21,27,Baja,Validado,9.6,Pendiente
#1351,2026-07-14 16:01:25,Comas Sur,Emergencia Médica,-11.94015,-77.015821,65,82,Alta,Validado,3.3,Pendiente
#1352,2026-07-14 02:38:25,Collique,Incendio,-11.889287,-77.059407,24,29,Baja,Validado,12.4,Atendido
#1353,2026-07-14 18:13:25,La Balanza,Emergencia Médica,-11.902212,-77.019401,15,10,Baja,Validado,24.2,Atendido
#1354,2026-07-14 18:32:25,Collique,Robo,-11.911837,-77.038892,63,42,Media,Validado,6.6,En Proceso
#1355,2026-07-14 08:41:25,Comas Sur,Robo,-11.946954,-77.05101,88,25,Baja,Validado,5.3,Atendido
#1356,2026-07-14 18:51:25,Collique,Sospecha,-11.926729,-77.036809,46,77,Media,Validado,1.8,En Proceso
#1357,2026-07-13 20:38:25,La Balanza,Robo,-11.931308,-77.024851,62,28,Baja,Validado,9.5,Atendido
#1358,2026-07-14 16:29:25,Collique,Accidente de Tránsito,-11.926442,-77.043726,19,15,Baja,Validado,2.1,En Proceso
#1359,2026-07-14 07:02:25,Comas Norte,Incendio,-11.946807,-77.058043,64,52,Media,Validado,3.8,Pendiente
#1360,2026-07-13 22:32:25,Comas Sur,Accidente de Tránsito,-11.885489,-77.02277,53,79,Media,Validado,14.6,Atendido
#1361,2026-07-14 05:32:25,San Agustín,Accidente de Tránsito,-11.948447,-77.018357,60,47,Media,Validado,6.0,Atendido
#1362,2026-07-14 16:11:25,La Balanza,Accidente de Tránsito,-11.889172,-77.035159,96,67,Media,Validado,2.4,Pendiente
#1363,2026-07-14 19:26:25,Comas Norte,Emergencia Médica,-11.915118,-77.030386,51,60,Media,Descartado,0.0,Atendido
#1364,2026-07-14 08:59:25,Collique,Robo,-11.914003,-77.042564,87,27,Baja,Validado,17.9,Atendido
#1365,2026-07-14 16:26:25,La Balanza,Sospecha,-11.947155,-77.033718,24,10,Baja,Validado,10.3,Atendido
#1366,2026-07-13 22:08:25,Comas Sur,Sospecha,-11.913383,-77.038768,81,27,Baja,Validado,3.8,Atendido
#1367,2026-07-14 05:04:25,Comas Sur,Accidente de Tránsito,-11.881708,-77.03435,51,34,Baja,Descartado,0.0,Atendido
#1368,2026-07-14 08:22:25,San Agustín,Robo,-11.918041,-77.017189,62,81,Alta,Validado,21.1,Pendiente
#1369,2026-07-14 02:33:25,San Agustín,Incendio,-11.902082,-77.038776,16,90,Alta,Validado,13.7,En Proceso
#1370,2026-07-14 06:08:25,Comas Sur,Emergencia Médica,-11.891366,-77.039925,82,51,Media,Validado,19.6,En Proceso
#1371,2026-07-14 16:59:25,La Balanza,Robo,-11.894079,-77.057882,90,22,Baja,Validado,10.9,Pendiente
#1372,2026-07-14 04:13:25,Comas Norte,Sospecha,-11.886432,-77.0125,37,58,Media,Validado,13.7,Atendido
#1373,2026-07-14 13:31:25,Comas Norte,Emergencia Médica,-11.917691,-77.059533,18,54,Media,Validado,15.7,Atendido
#1374,2026-07-14 14:15:25,La Balanza,Emergencia Médica,-11.947022,-77.019519,43,96,Alta,Descartado,0.0,Atendido
#1375,2026-07-14 17:38:25,Comas Sur,Robo,-11.908695,-77.048847,30,83,Alta,Validado,12.7,Atendido
#1376,2026-07-14 04:46:25,San Agustín,Incendio,-11.900937,-77.032563,57,100,Alta,Validado,2.7,Pendiente
#1377,2026-07-14 01:25:25,San Agustín,Sospecha,-11.942151,-77.035551,95,82,Alta,Validado,2.4,En Proceso
#1378,2026-07-14 00:43:25,Comas Norte,Robo,-11.883047,-77.02846,45,23,Baja,Descartado,0.0,Atendido
#1379,2026-07-14 17:15:25,La Balanza,Robo,-11.915953,-77.052555,41,99,Alta,Validado,22.7,Pendiente
#1380,2026-07-14 11:54:25,San Agustín,Incendio,-11.931185,-77.010234,32,76,Media,Validado,9.7,Pendiente
#1381,2026-07-14 01:29:25,Collique,Sospecha,-11.939774,-77.019916,52,62,Media,Descartado,0.0,Atendido
#1382,2026-07-14 01:15:25,Comas Sur,Accidente de Tránsito,-11.943218,-77.022976,48,48,Media,Validado,23.6,Pendiente
#1383,2026-07-13 23:10:25,San Agustín,Accidente de Tránsito,-11.903963,-77.046269,88,84,Alta,Validado,23.8,En Proceso
#1384,2026-07-13 23:31:25,Collique,Accidente de Tránsito,-11.89241,-77.026013,33,98,Alta,Validado,7.3,Pendiente
#1385,2026-07-14 14:52:25,Collique,Emergencia Médica,-11.921974,-77.015773,82,81,Alta,Validado,15.5,En Proceso
#1386,2026-07-14 04:26:25,San Agustín,Robo,-11.881654,-77.023473,100,79,Media,Validado,22.9,En Proceso
#1387,2026-07-14 17:04:25,La Balanza,Sospecha,-11.935825,-77.050592,26,79,Media,Validado,4.4,En Proceso
#1388,2026-07-14 16:08:25,Comas Sur,Accidente de Tránsito,-11.939984,-77.048059,59,26,Baja,Validado,2.1,Atendido
#1389,2026-07-14 16:57:25,La Balanza,Accidente de Tránsito,-11.895342,-77.023161,15,74,Media,Validado,13.4,Pendiente
#1390,2026-07-13 20:51:25,Comas Norte,Incendio,-11.924563,-77.013208,86,76,Media,Validado,23.5,Pendiente
#1391,2026-07-13 22:25:25,San Agustín,Robo,-11.922993,-77.05118,41,28,Baja,Descartado,0.0,Atendido
#1392,2026-07-14 08:11:25,Collique,Robo,-11.880561,-77.032285,44,99,Alta,Validado,11.4,En Proceso
#1393,2026-07-14 07:32:25,La Balanza,Accidente de Tránsito,-11.948879,-77.026127,63,40,Media,Validado,7.3,Pendiente
#1394,2026-07-13 20:21:25,La Balanza,Accidente de Tránsito,-11.949564,-77.014943,56,94,Alta,Validado,2.0,Atendido
#1395,2026-07-14 11:24:25,La Balanza,Emergencia Médica,-11.942469,-77.018965,18,21,Baja,Validado,11.4,Pendiente
#1396,2026-07-14 09:26:25,Comas Norte,Accidente de Tránsito,-11.885332,-77.040655,48,13,Baja,Validado,22.4,En Proceso
#1397,2026-07-14 02:07:25,La Balanza,Accidente de Tránsito,-11.927478,-77.028441,74,27,Baja,Validado,15.6,En Proceso
#1398,2026-07-13 22:43:25,Comas Norte,Robo,-11.948575,-77.036769,98,27,Baja,Validado,10.1,Pendiente
#1399,2026-07-13 20:23:25,La Balanza,Emergencia Médica,-11.915246,-77.028377,56,65,Media,Validado,17.6,Atendido
#1400,2026-07-13 21:56:25,San Agustín,Sospecha,-11.884295,-77.054472,65,66,Media,Validado,24.1,Atendido
#1401,2026-07-14 18:36:25,Collique,Accidente de Tránsito,-11.94672,-77.035673,97,60,Media,Validado,17.3,Atendido
#1402,2026-07-14 12:49:25,San Agustín,Incendio,-11.949444,-77.037258,68,30,Baja,Validado,23.6,En Proceso
#1403,2026-07-14 17:47:25,La Balanza,Sospecha,-11.942477,-77.035487,75,19,Baja,Validado,7.7,Atendido
#1404,2026-07-14 00:43:25,Comas Norte,Sospecha,-11.935752,-77.026797,47,43,Media,Validado,20.9,Pendiente
#1405,2026-07-14 16:14:25,San Agustín,Accidente de Tránsito,-11.930595,-77.046259,54,11,Baja,Validado,12.4,En Proceso
#1406,2026-07-14 05:37:25,Comas Sur,Accidente de Tránsito,-11.933503,-77.037277,11,55,Media,Validado,6.6,Atendido
#1407,2026-07-14 02:32:25,San Agustín,Robo,-11.908669,-77.019152,43,68,Media,Validado,21.0,Pendiente
#1408,2026-07-14 03:54:25,Comas Norte,Accidente de Tránsito,-11.903468,-77.010311,68,94,Alta,Validado,21.3,Atendido
#1409,2026-07-14 09:14:25,Comas Sur,Accidente de Tránsito,-11.89562,-77.049352,91,43,Media,Validado,9.9,En Proceso
#1410,2026-07-14 09:50:25,Comas Sur,Incendio,-11.882447,-77.059404,32,51,Media,Validado,8.2,Pendiente
#1411,2026-07-14 08:31:25,San Agustín,Emergencia Médica,-11.909597,-77.028578,70,52,Media,Validado,13.9,Pendiente
#1412,2026-07-14 00:30:25,La Balanza,Incendio,-11.8886,-77.049258,23,86,Alta,Validado,14.2,Pendiente
#1413,2026-07-13 19:56:25,La Balanza,Accidente de Tránsito,-11.943657,-77.014568,52,48,Media,Validado,15.3,Pendiente
#1414,2026-07-13 20:28:25,Collique,Sospecha,-11.928386,-77.012607,73,81,Alta,Validado,22.7,Atendido
#1415,2026-07-14 09:16:25,San Agustín,Robo,-11.880691,-77.022179,79,77,Media,Validado,20.5,Atendido
#1416,2026-07-13 21:53:25,La Balanza,Incendio,-11.882548,-77.052483,26,55,Media,Validado,24.0,En Proceso
#1417,2026-07-14 05:36:25,Comas Norte,Emergencia Médica,-11.880176,-77.018293,71,72,Media,Validado,9.7,Pendiente
#1418,2026-07-14 07:04:25,Comas Norte,Emergencia Médica,-11.917929,-77.024745,96,57,Media,Validado,7.5,En Proceso
#1419,2026-07-13 21:14:25,Collique,Robo,-11.940946,-77.059933,17,96,Alta,Validado,6.3,Pendiente
#1420,2026-07-14 11:42:25,Comas Sur,Robo,-11.893679,-77.012555,86,69,Media,Validado,5.4,En Proceso
#1421,2026-07-14 08:03:25,Comas Sur,Accidente de Tránsito,-11.912315,-77.037933,35,57,Media,Validado,7.7,En Proceso
#1422,2026-07-14 17:47:25,Comas Norte,Incendio,-11.890466,-77.01659,89,28,Baja,Validado,20.2,Atendido
#1423,2026-07-14 10:10:25,La Balanza,Accidente de Tránsito,-11.915613,-77.035616,23,81,Alta,Validado,24.2,Atendido
#1424,2026-07-14 11:20:25,Comas Norte,Robo,-11.90904,-77.044723,21,84,Alta,Validado,6.6,Atendido
#1425,2026-07-14 06:50:25,La Balanza,Incendio,-11.929366,-77.049285,40,45,Media,Validado,8.1,Atendido
#1426,2026-07-14 06:06:25,Comas Norte,Sospecha,-11.938562,-77.011558,60,29,Baja,Validado,20.0,Pendiente
#1427,2026-07-14 04:35:25,La Balanza,Accidente de Tránsito,-11.916532,-77.022211,30,81,Alta,Descartado,0.0,Atendido
#1428,2026-07-14 01:23:25,Collique,Incendio,-11.90835,-77.056195,79,82,Alta,Validado,4.6,En Proceso
#1429,2026-07-13 21:37:25,Collique,Sospecha,-11.939515,-77.023188,16,95,Alta,Validado,12.1,En Proceso
#1430,2026-07-14 04:43:25,San Agustín,Sospecha,-11.916967,-77.050514,23,79,Media,Descartado,0.0,Atendido
#1431,2026-07-14 14:35:25,La Balanza,Robo,-11.916034,-77.037175,92,50,Media,Validado,6.7,Atendido
#1432,2026-07-13 20:33:25,Collique,Emergencia Médica,-11.939019,-77.023717,32,84,Alta,Validado,23.9,Pendiente
#1433,2026-07-14 15:34:25,Collique,Sospecha,-11.91526,-77.046557,37,98,Alta,Validado,20.1,Atendido
#1434,2026-07-14 07:42:25,Comas Norte,Emergencia Médica,-11.886041,-77.04799,94,15,Baja,Validado,24.9,Atendido
#1435,2026-07-14 07:36:25,La Balanza,Emergencia Médica,-11.918634,-77.0368,66,27,Baja,Validado,17.1,En Proceso
#1436,2026-07-14 14:57:25,San Agustín,Incendio,-11.88821,-77.023068,47,78,Media,Validado,3.7,Pendiente
#1437,2026-07-14 12:30:25,La Balanza,Emergencia Médica,-11.937572,-77.036638,13,51,Media,Validado,5.6,Pendiente
#1438,2026-07-14 01:15:25,Comas Norte,Incendio,-11.892718,-77.037148,70,48,Media,Descartado,0.0,Atendido
